id,download_url,project_name,city,category,theme,duration,quota,description
IJS-5-1,https://twpathfinder.org/overview_d/723,解鎖法國 直擊博館核心（圓夢助力方案）,法國巴黎﹑里昂﹑馬賽,💫圓夢助力方案,法國博物館策展典藏與古蹟活化,115 年 7 月 2 日至 7 月 31 日，共計 30 天（含飛行日）,18,前進法國三大文化重鎮，深入博物館典藏庫房與修復中心。學習國家級策展思維與古蹟活化實務，透過台法青年專業交流，鍛鍊敘事力與轉譯力，將國際見學經驗轉化為在地文化推廣能量！
IJ-5-2,https://twpathfinder.org/overview_d/724,永續城市循環時尚,荷蘭、比利時,(五)文創機構,永續時尚與循環設計,115 年 11 月 17 日至 12 月 03 日，共計 17天 ( 含飛行日 ),20,赴荷比學習永續時尚與循環設計，觀察低碳城市與政策導向，實作升級再造與社區回饋，培養青年國際視野與環境責任能力。
IJ-5-3,https://twpathfinder.org/overview_d/725,星際導演！溫哥華影視營,加拿大-BC省溫哥華,(五)文創機構,太空影像創作與影視特效動畫見習,暫定 115 年 7 月 11 日至 8 月 3 日，共計 24 日（含飛行日）,20,本計畫進駐溫哥華電影學院，以太空為題，整合電影製作、化妝特效與動畫設計。學生將從發想到後製完整體驗影業流程，並在專業師資指導下完成原創影像，打造專屬職涯作品集！
IJ-6-1,https://twpathfinder.org/overview_d/726,跨界合作 身障共融探索,日本山形縣,(六)青年行動及服務,身障者社區共融與跨國文化交流,115 年 8 月 3 日至 8 月 19 日，共計 17 日（含飛行日）115 年 8 月 3 日至 8 月 19 日，共計 17 日（含飛行日）,5,提供學生實踐社會責任與專業技能的機會，深入了解身心障礙服務與日本文化，透過跨國合作與實地體驗，拓展國際視野，增強跨文化溝通與共融活動的規劃與執行能力。
IJS-6-1,https://twpathfinder.org/overview_d/727,跨界合作 身障共融探索（圓夢助力方案）,日本山形縣,💫圓夢助力方案,身障者社區共融與跨國文化交流,115 年 8 月 3 日至 8 月 19 日，共計 17 日（含飛行日）,5,提供學生實踐社會責任與專業技能的機會，深入了解身心障礙服務與日本文化，透過跨國合作與實地體驗，拓展國際視野，增強跨文化溝通與共融活動的規劃與執行能力。
IJS-6-2,https://twpathfinder.org/overview_d/728,無礙征途：聖雅各（圓夢助力方案）,西班牙馬德里、薩里亞、聖地牙哥,💫圓夢助力方案,國際跨障別共計融行走與平權實務,115 年 7 月 16 日至 8 月 1 日，共計 17 天（含飛行日）,16,挑戰聖雅各朝聖之路！透過跨障別共計融徒步，實踐平權倡議與環境觀察，將國際見學經驗轉化為社會影響力，培育具公共計責任的未來領袖。
IJ-6-3,https://twpathfinder.org/overview_d/729,守護萌友！澳洲保育營,澳洲墨爾本,(六)青年行動及服務,澳洲野生動物福利與生物保育見習,115 年 8 月 10 日至 8 月 26 日，共計 17 天。（含飛行日）,8,赴澳直擊 Zoos Victoria 等三大機構，學習五大福利模型與 VR 醫療。深入夜行性動物與爬蟲類照護後場，掌握減壓運輸與保定技巧。透過實地見習與倫理辯證，將澳洲保育經驗轉化為公民科學行動！
IJS-6-3,https://twpathfinder.org/overview_d/730,守護萌友！澳洲保育營（圓夢助力方案）,澳洲墨爾本,💫圓夢助力方案,澳洲野生動物福利與生物保育見習,115 年 8 月 10 日至 8 月 26 日，共計 17 天。（含飛行日）,7,赴澳直擊 Zoos Victoria 等三大機構，學習五大福利模型與 VR 醫療。深入夜行性動物與爬蟲類照護後場，掌握減壓運輸與保定技巧。透過實地見習與倫理辯證，將澳洲保育經驗轉化為公民科學行動！
IJ-6-4,https://twpathfinder.org/overview_d/731,未來放送中！PR小隊集結,蒙古烏蘭巴托市,(六)青年行動及服務,文化參訪與城市探索,115 年 7 月 9 日至 7 月 26 日，共計 18 日（含飛行日）,8,結合服務學習與文化參訪，透過挑戰與互動增強韌性，讓年輕人深入了解蒙古文化，培養全球視野和社會責任感。
IJS-6-4,https://twpathfinder.org/overview_d/732,未來放送中！PR小隊集結（圓夢助力方案）,蒙古烏蘭巴托市,💫圓夢助力方案,文化參訪與城市探索,115 年 7 月 9 日至 7 月 26 日，共計 18 日（含飛行日）,8,結合服務學習與文化參訪，透過挑戰與互動增強韌性，讓年輕人深入了解蒙古文化，培養全球視野和社會責任感。
IJ-6-5,https://twpathfinder.org/overview_d/733,澳洲永續行：夢想啟航,澳洲雪梨,(六)青年行動及服務,探索環境永續與文化共生,115 年 7 月 4 日至 7 月 23 日，共計 20 日（含飛行日）,16,攜手輔大與澳洲名校，飛越半球深入自然現場，透過實地考察與專業課程，讓你從環境反思中磨練解決問題的實力！
IJ-6-6,https://twpathfinder.org/overview_d/734,AI 世代救援者聯盟,美國猶他州大鹽湖城地區,(六)青年行動及服務,全球公民視野與行動救援研習,115 年 8 月 14 日至 8 月 30 日，共計 17 日（含飛行日）,20,參與高強度的志願服務與模擬計畫設計。在實戰中觀察國際情勢，打造未來的領袖特質。
IJ-8-1,https://twpathfinder.org/overview_d/735,跨界新星 藝闖法蘭西,法國,(八)專業職能培訓,青年雜技法國培育與藝術交流計畫,115 年 9 月 24 日至 10 月 14 日，共計 21 日（含飛行日）,8,CNAC 訓練與 CIRCa 觀摩，深化技能並對接國際藝術網。將見習成果帶回台灣，驅動表演藝術多元發展。
IJS-8-1,https://twpathfinder.org/overview_d/736,跨界新星 藝闖法蘭西（圓夢助力方案）,法國,💫圓夢助力方案,青年雜技法國培育與藝術交流計畫,115 年 9 月 24 日至 10 月 14 日，共計 21 日（含飛行日）,8,CNAC 訓練與 CIRCa 觀摩，深化技能並對接國際藝術網。將見習成果帶回台灣，驅動表演藝術多元發展。
IJ-8-2,https://twpathfinder.org/overview_d/737,美味上架中：食創實驗室,日本福岡,(八)專業職能培訓,14天打造海外食尚品牌,暫定 115 年 8 月 1 日至 8 月 31 日間，共計 15 日 ( 含飛行日 ),14,飛往日本福岡，向大師研習道地餐飲技術，並由專業團隊指導社群行銷與計畫撰寫，將你的創業夢轉化為實戰力！
IJ-8-3,https://twpathfinder.org/overview_d/738,夢想ON AIR 光芒養成記,韓國首爾,(八)專業職能培訓,K-POP與音樂劇實戰實習,115 年 6 月 30 日至 7 月 31 日間，共計 15 日（含飛行日）,14,前進韓國頂尖藝大與經紀公司，接受K-POP及音樂劇大師指導，在專業劇場與試鏡實戰中，成就明日之星！
IJS-8-4,https://twpathfinder.org/overview_d/739,島嶼之外的英倫科學院（圓夢助力方案）,英國倫敦、牛津/劍橋,💫圓夢助力方案,英國 STEM 沉浸與探究式共計學,115 年 7 月 1 日至 7 月 16 日，共計 16 天（含飛行日）,16,引進英國探究式學習，打破離島教育限制！藉由英倫學術沉浸，培育具國際視野的科學青年，落實在地實踐影響力。
IJ-8-5,https://twpathfinder.org/overview_d/740,北歐教育大冒險,芬蘭-赫爾辛基愛沙尼亞-塔林,(八)專業職能培訓,芬蘭教育的北歐藍圖,115 年 8 月 8 日至 8 月 24 日，共計 17 天（含飛行日）,10,勇闖芬蘭與愛沙尼亞！跨越校園走進實驗室與新創圈。讓你開拓全球視野，播下台灣教育變革種子。
IJS-8-5,https://twpathfinder.org/overview_d/741,北歐教育大冒險（圓夢助力方案）,芬蘭-赫爾辛基愛沙尼亞-塔林,💫圓夢助力方案,芬蘭教育的北歐藍圖,115 年 8 月 8 日至 8 月 24 日，共計 17 天（含飛行日）,10,勇闖芬蘭與愛沙尼亞！跨越校園走進實驗室與新創圈。讓你開拓全球視野，播下台灣教育變革種子。
IJ-8-7,https://twpathfinder.org/overview_d/742,鑑識迷蹤大冒險,英國倫敦,(八)專業職能培訓,法醫科學解開真相的密碼,115 年 7 月 3 日至 7 月 19 日，共計 17 天（含飛行日）,10,國際鑑識殿堂！25天深度研習法醫與犯罪史。在實務中鍛鍊科學邏輯，培養正義使命感，解開生命真相。
IJS-8-7,https://twpathfinder.org/overview_d/743,鑑識迷蹤大冒險（圓夢助力方案）,英國倫敦,💫圓夢助力方案,法醫科學解開真相的密碼,115 年 7 月 3 日至 7 月 19 日，共計 17 天（含飛行日）,10,國際鑑識殿堂！25天深度研習法醫與犯罪史。在實務中鍛鍊科學邏輯，培養正義使命感，解開生命真相。
IJ-8-8,https://twpathfinder.org/overview_d/744,前進美加：全球治理想像力,加拿大多倫多、美國紐約,(八)專業職能培訓,解鎖國際金融視野,115 年 7 月 1 日至 7 月 17 日，共計 17 日（含飛行日）,10,攜手紐大、多大及華南銀行，從校園直達國際組織與創新中心。透過海外實地參訪與專題研習，助你突破限制！
IJS-8-8,https://twpathfinder.org/overview_d/745,前進美加：全球治理想像力（圓夢助力方案）,加拿大多倫多、美國紐約,💫圓夢助力方案,解鎖國際金融視野,115 年 7 月 1 日至 7 月 17 日，共計 17 日（含飛行日）,10,攜手紐大、多大及華南銀行，從校園直達國際組織與創新中心。透過海外實地參訪與專題研習，助你突破限制！
IJ-8-9,https://twpathfinder.org/overview_d/746,科學與創新英倫之旅,英國倫敦、牛津/劍橋,(八)專業職能培訓,創新科技國際實驗室,115 年 7 月 15 日至 8 月 2 日，共計 19 天（含飛行日）,10,在英國名校解鎖科學與藝術實務。跨越邊界、提升創新力，這是一場定義未來的實驗室之約。
IJS-8-9,https://twpathfinder.org/overview_d/754,科學與創新英倫之旅（圓夢助力方案）,英國倫敦、牛津/劍橋,💫圓夢助力方案,創新科技國際實驗室,115 年 7 月 15 日至 8 月 2 日，共計 19 天（含飛行日）,10,在英國名校解鎖科學與藝術實務。跨越邊界、提升創新力，這是一場定義未來的實驗室之約。
IJ-8-10,https://twpathfinder.org/overview_d/747,翼起飛越布拉格,捷克布拉格、布蘭諾、格拉茲、奧地利維也納,(八)專業職能培訓,捷克無人機工程實作與航太見習,115 年 8 月 22 日至 9 月 13 日，共計 23 天（含飛行日）,10,直擊捷克理工大學，實作UAV組裝與試飛，掌握歐陸航管脈動。透過知名產線參訪與跨國交流，整合工程技術與學術思維，啟動航太研發動能！
IJS-8-10,https://twpathfinder.org/overview_d/748,翼起飛越布拉格（圓夢助力方案）,捷克布拉格、布蘭諾、格拉茲、奧地利維也納,💫圓夢助力方案,捷克無人機工程實作與航太見習,115 年 8 月 22 日至 9 月 13 日，共計 23 天（含飛行日）,10,直擊捷克理工大學，實作UAV組裝與試飛，掌握歐陸航管脈動。透過知名產線參訪與跨國交流，整合工程技術與學術思維，啟動航太研發動能！
IJ-8-11,https://twpathfinder.org/overview_d/749,醫級玩家：VR醫療行動,加拿大多倫多市,(八)專業職能培訓,醫護實務參訪與 VR 科技培力,115 年 7 月 12 日至 8 月 3 日，共計 23 天（含飛行日）,10,透過MR與VR技術學習解剖學及臨床技能 。結合醫學專業訓練、文化交流與業師輔導 ，旨在提升學生醫學素養，並開拓其國際職涯視野 。
IJS-8-11,https://twpathfinder.org/overview_d/750,醫級玩家：VR醫療行動（圓夢助力方案）,加拿大多倫多市,💫圓夢助力方案,醫護實務參訪與 VR 科技培力,115 年 7 月 12 日至 8 月 3 日，共計 23 天（含飛行日）,10,前進加拿大 Sheridan College，體驗 3D 解剖與 VR 模擬醫療，深化急救技能與國際醫護視野。透過跨國交流與文化體驗，將專業知識轉化為社會影響力，開啟醫護職涯新未來！
IJ-8-12,https://twpathfinder.org/overview_d/751,揭開傳統技藝木匠之魂,日本東京,(八)專業職能培訓,永續建築及工藝交流,115 年 7 月 19 日至 8 月 10 日，共計 23 天（含飛行日）,10,探索日本木建築的永續奧秘！參與專業模型製作課程，學習燈光與材料搭配。與當地學生、職人深度交流，在設計展中激發創意，用國際視野重新定義未來。
IJS-8-12,https://twpathfinder.org/overview_d/752,揭開傳統技藝木匠之魂（圓夢助力方案）,日本東京,💫圓夢助力方案,永續建築及工藝交流,115 年 7 月 19 日至 8 月 10 日，共計 23 天（含飛行日）,10,探索日本木建築的永續奧秘！參與專業模型製作課程，學習燈光與材料搭配。與當地學生、職人深度交流，在設計展中激發創意，用國際視野重新定義未來。
IJ-8-13,https://twpathfinder.org/overview_d/753,朝聖！轉生御宅世界,日本東京,(八)專業職能培訓,遊戲動漫專業養成,115 年 8 月 16 日至 9 月 7 日，共計 23 天（含飛行日）,10,深入東京動漫專業殿堂，解密遊戲開發流程。從角色設定到模型製作，透過與大師面對面交流，建立跨國視野並展現創意成果，搶先預約日本數位內容產業的門票。
IJS-8-13,https://twpathfinder.org/overview_d/755,朝聖！轉生御宅世界（圓夢助力方案）,日本東京,💫圓夢助力方案,遊戲動漫專業養成,115 年 8 月 16 日至 9 月 7 日，共計 23 天（含飛行日）,10,深入東京動漫專業殿堂，解密遊戲開發流程。從角色設定到模型製作，透過與大師面對面交流，建立跨國視野並展現創意成果，搶先預約日本數位內容產業的門票。
IJ-8-14,https://twpathfinder.org/overview_d/756,解鎖美力！美妝職人特訓營,日本東京,(八)專業職能培訓,日本美力實戰與養成,115 年 7 月 19 日至 8 月 10 日，共計 23 天（含飛行日）,10,直擊資生堂、Panasonic 研習，深入美容名校實作！從產品研發到技術養成，透過跨國交流與創意發表，全面提升你的國際美妝競爭力與品牌視野。
IJS-8-14,https://twpathfinder.org/overview_d/757,解鎖美力！美妝職人特訓營（圓夢助力方案）,日本東京,💫圓夢助力方案,日本美力實戰與養成,115 年 7 月 19 日至 8 月 10 日，共計 23 天（含飛行日）,10,直擊資生堂、Panasonic 研習，深入美容名校實作！從產品研發到技術養成，透過跨國交流與創意發表，全面提升你的國際美妝競爭力與品牌視野。
IJ-8-15,https://twpathfinder.org/overview_d/758,黃金海岸造夢者,澳洲/布里斯本、黃金海岸,(八)專業職能培訓,創意產業與永續公民研習,115 年 7 月 4 日至 7 月 20 日，共計 17 天（含飛行日）,10,澳洲家庭與野生動物保護區，參與影視製作與商業發想實踐，定義你的未來。
IJS-8-15,https://twpathfinder.org/overview_d/759,黃金海岸造夢者（圓夢助力方案）,澳洲/布里斯本、黃金海岸,💫圓夢助力方案,創意產業與永續公民研習,115 年 7 月 4 日至 7 月 20 日，共計 17 天（含飛行日）,10,澳洲家庭與野生動物保護區，參與影視製作與商業發想實踐，定義你的未來。
IJ-8-16,https://twpathfinder.org/overview_d/760,星際造夢者,加拿大蒙特羅、渥太華、龐巴迪、多倫多,(八)專業職能培訓,火箭實作及衛星通訊,暫定 115 年 7 月 5 日至 7 月 27 日，共計 23 天（含飛行日）,10,挑戰重力極限！從火箭原理、空氣動力到衛星控制，親手打造飛行專題並參訪國際航太機構，透過高空冒險體驗，掌握太空產業核心技術，開啟宇宙職涯。
IJS-8-16,https://twpathfinder.org/overview_d/761,星際造夢者（圓夢助力方案）,加拿大蒙特羅、渥太華、龐巴迪、多倫多,💫圓夢助力方案,火箭實作及衛星通訊,暫定 115 年 7 月 5 日至 7 月 27 日，共計 23 天（含飛行日）,10,挑戰重力極限！從火箭原理、空氣動力到衛星控制，親手打造飛行專題並參訪國際航太機構，透過高空冒險體驗，掌握太空產業核心技術，開啟宇宙職涯。
IJ-8-17,https://twpathfinder.org/overview_d/762,前瞻綠能汽車工業探旅,德國慕尼黑、斯圖加特、羅騰堡、法蘭克福、柏林,(八)專業職能培訓,德式硬核職人精神,115 年 8 月 4 日至 8 月 21 日，共計 18 日（含飛行日）,10,進駐德國四大頂尖工大，深度對接賓士、保時捷產研體系。從歷史脈絡到綠能前沿，養成跨領域的職人視野。
IJS-8-17,https://twpathfinder.org/overview_d/763,前瞻綠能汽車工業探旅（圓夢助力方案）,德國慕尼黑、斯圖加特、羅騰堡、法蘭克福、柏林,💫圓夢助力方案,德式硬核職人精神,115 年 8 月 4 日至 8 月 21 日，共計 18 日（含飛行日）,10,進駐德國四大頂尖工大，深度對接賓士、保時捷產研體系。從歷史脈絡到綠能前沿，養成跨領域的職人視野。
IJ-8-18,https://twpathfinder.org/overview_d/764,高端工程 國際見學,德國/弗萊貝格、慕尼黑,(八)專業職能培訓,跨國技術轉譯，打造具歷史溫度的工程視野。,115 年 8 月 22 日至 9 月 8 日，共計 18 天（含飛行日）,15,跨越礦冶本源至工業4.0智慧產線，透過國際交流與文化探源，深度鏈結全球技術脈絡，實踐資源永續的跨域工程見學。
IJ-8-19,https://twpathfinder.org/overview_d/765,科技探索者,加拿大多倫多,(八)專業職能培訓,Apple科技生態系統入門,暫定 115 年 7 月 19 日至 8 月 10 日，共計 23 日（含飛行日）,10,專為零基礎高中生設計！由 Sheridan 學院帶你玩轉 Mac 與 iOS 裝置，從系統邏輯到硬體應用全方位上手。
IJS-8-19,https://twpathfinder.org/overview_d/766,科技探索者（圓夢助力方案）,加拿大多倫多,💫圓夢助力方案,Apple科技生態系統入門,暫定 115 年 7 月 19 日至 8 月 10 日，共計 23 日（含飛行日）,10,專為零基礎高中生設計！由 Sheridan 學院帶你玩轉 Mac 與 iOS 裝置，從系統邏輯到硬體應用全方位上手。
IJ-8-20,https://twpathfinder.org/overview_d/776,臺越共好：青年綠色行動,越南胡志明市,(八)專業職能培訓,跨國永續商戰與綠色社區開發,115 年 7 月 18 日至 8 月 1 日，共計 15 日（含飛行日）,10,前進越南指標大學，直擊永續企業核心！在兩週內透過跨國實習與商務講座，將綠色願景化為實際經營策略。
IJS-8-20,https://twpathfinder.org/overview_d/767,臺越共好：青年綠色行動（圓夢助力方案）,越南胡志明市,💫圓夢助力方案,跨國永續商戰與綠色社區開發,115 年 7 月 18 日至 8 月 1 日，共計 15 日（含飛行日）,10,前進越南指標大學，直擊永續企業核心！在兩週內透過跨國實習與商務講座，將綠色願景化為實際經營策略。
IJS-8-21,https://twpathfinder.org/overview_d/768,青年廚神：澳洲實戰計畫（圓夢助力方案）,澳洲墨爾本,💫圓夢助力方案,澳洲頂尖廚藝實作與文化探索,115 年 11 月 21 日至 12 月 9 日，共計 19 日（含飛行日）,10,攜手澳洲威廉安格力斯學院，透過名師示範、市場探索與神祕食材競賽，讓你在墨爾本深度練就國際級餐飲實力。
IJ-8-22,https://twpathfinder.org/overview_d/769,TRU 實驗室生存戰,加拿大甘露市,(八)專業職能培訓,STEM實踐與批判思維養成,115 年 9 月 21 日至 10 月 17 日，共計 27 日（不含飛行日）,20,走進 TRU 專業教室！透過實作課鍛鍊批判思考與規劃力，把你變成會想、會做、更會說的職場全才。
IJ-8-23,https://twpathfinder.org/overview_d/770,KPOP浪潮韓國偶像之路,韓國首爾,(八)專業職能培訓,偶像表演藝術學習、演藝管理應用,暫定 115 年 7 月 28 日至 8 月 11 日，共計 15 天（含飛行日）,20,你有明星夢嗎？快把握機會！前往韓國 Born Star 演藝培訓學院參與培訓課程，了解韓國興盛的娛樂產業背後如何集結表演藝術及演藝管理等各領域專業，更有韓國電視臺參訪與經紀公司的試鏡體驗！
IJ-8-24,https://twpathfinder.org/overview_d/771,鏡頭後的影視世界,美國加州洛杉磯,(八)專業職能培訓,跨國影視製作與導演實務,暫定 115 年 8 月 14 日至 8 月 28 日，合計 15 日（不含飛行日）,20,度解構美式製片流程，透過專業鏡頭實操與大師傳承，讓你成為國際影視新星。
IJ-8-25,https://twpathfinder.org/overview_d/772,東京棒球科學培訓,日本東京,(八)專業職能培訓,日本棒球技術與生涯發展,暫定 115 年 8 月 15 日至 8 月 29 日間，共計 15 天（含飛行日）。,16,赴日學習棒球頂尖技術與心理分析，觀摩職棒與校隊訓練，吸收先進理念，提升競技與生涯發展能力。
IJ-8-26,https://twpathfinder.org/overview_d/773,台美青年舞蹈交流,美國西雅圖、布雷默頓,(八)專業職能培訓,國際舞蹈與社區推廣,暫定 115 年 10 月 9 日至 10 月 25 日，共計 17 天（含飛行日）,16,返國後舉辦成果展與社區推廣，分享舞蹈與鼓圈創作，提升青年能力，擴大國際學習影響力。
IJ-8-27,https://twpathfinder.org/overview_d/774,法國航太探索之旅,法國 巴黎/圖盧茲,(八)專業職能培訓,航太與科技創新,115 年 8 月 14 日至 8 月 31 日，共計18天（含飛行日）,10,橫跨巴黎至圖盧茲，深入航太之都探索飛行奧秘，透過實作與產學交流，將宇宙好奇轉化為未來職涯動能。
IJS-8-27,https://twpathfinder.org/overview_d/775,法國航太探索之旅（圓夢助力方案）,法國 巴黎/圖盧茲,💫圓夢助力方案,航太與科技創新,115 年 8 月 14 日至 8 月 31 日，共計18天（含飛行日）,10,橫跨巴黎至圖盧茲，深入航太之都探索飛行奧秘，透過實作與產學交流，將宇宙好奇轉化為未來職涯動能。
IJ-8-29,https://twpathfinder.org/overview_d/777,無人機航太探索,土耳其／ 安卡拉、伊斯坦堡、卡帕多奇亞、番紅花城、巴穆嘉麗、庫薩達西、 恰納卡萊,(八)專業職能培訓,無人機航太探索,115 年 7 月 24 日至 8 月 14 日，共計 21 天 ( 含飛行日 ),15,藉土耳其航大實習精進無人機專業與國際視野；返國分享成果、對接產學資源，極大化職涯價值與社會影響力。
IJ-8-30,https://twpathfinder.org/overview_d/786,解構未來技術巡航,日本/宮城縣/仙台,(八)專業職能培訓,海外工業科技與實作培訓,115 年 11 月 21 日至 12 月 6 日，共計 16 天（含飛行日）,16,結合高強度實作課程與海外企業考察，在拓展國際視野的同時，點滿你的科技技能樹。
IJ-8-31,https://twpathfinder.org/overview_d/783,K-Beauty 圓夢首爾行,韓國首爾、坡州,(八)專業職能培訓,韓系造型技術與產業創新,115 年 8 月 9 日至 8 月 24 日，共計 16 日（含飛行日）,16,攜手愛茉莉太平洋與 GPF，前進韓國實戰 K-Beauty 核心技術，從品牌企劃到大學交流，成就你的跨國美學職涯！
IJ-8-33,https://twpathfinder.org/overview_d/787,牛津科普探究實踐團,英國/1.倫敦2.劍橋3.牛津,(八)專業職能培訓,深耕牛津學術，打造英式探究教案,115 年 7 月 6 日至 7 月 21 日，共計 16 天（含飛行日）,16,赴牛津解碼頂尖科學體系，實地觀摩 STEM 課堂，產出國際化教案並推廣科普，成就科學傳承夢想。
IJ-8-34,https://twpathfinder.org/overview_d/778,公共設計跨境實作,德國/法蘭克福、達姆施塔特、奧芬巴赫、威爾阿姆萊茵、德紹、柏林,(八)專業職能培訓,公共計設計與永續視野,115 年 8 月 10 日至 8 月 29 日，共計 20 天（含飛行日）,15,赴德觀摩公共計設計與 WDC 2026，透過街頭訪談與 SEL，引導廣告設計學生理解多元社會議題，培養公共計責任與永續設計能力。
